"Localidade (Cod)","Localidade","Função (Cod/Desc)","Subfunção (Cod/Desc)","Despesa Executada (Favorecido)","Despesa Executada (Subelemento)"
"3304201","RESENDE","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"NÃO INFORMADO","NÃO INFORMADO","16 - HABITAÇÃO","451 - INFRA-ESTRUTURA URBANA","0","0"
"2500000","PARAÍBA (ESTADO)","16 - HABITAÇÃO","482 - HABITAÇÃO URBANA","1700000","1700000"
"3304151","QUISSAMÃ","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","200000","200000"
"1200000","ACRE (ESTADO)","10 - SAÚDE","511 - SANEAMENTO BÁSICO RURAL","0","0"
"2500000","PARAÍBA (ESTADO)","10 - SAÚDE","303 - SUPORTE PROFILÁTICO E TERAPÊUTICO","31689586","31689586"
"5200000","GOIÁS (ESTADO)","17 - SANEAMENTO","512 - SANEAMENTO BÁSICO URBANO","77850291","77850291"
"2500000","PARAÍBA (ESTADO)","10 - SAÚDE","511 - SANEAMENTO BÁSICO RURAL","74814697","74814697"
"3200805","BAIXO GUANDU","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","200000","200000"
"1600600","SANTANA - AP","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"1400209","CARACARAÍ","10 - SAÚDE","511 - SANEAMENTO BÁSICO RURAL","0","0"
"2803500","LAGARTO","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","1410000","1410000"
"1600000","AMAPÁ (ESTADO)","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","2800000","2800000"
"2610202","PANELAS","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3137700","LAJINHA","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"2613305","SÃO JOAQUIM DO MONTE","10 - SAÚDE","511 - SANEAMENTO BÁSICO RURAL","135000","135000"
"2404309","GOVERNADOR DIX-SEPT ROSADO","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"2609154","MANARI","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3500000","SÃO PAULO (ESTADO)","10 - SAÚDE","305 - VIGILÂNCIA EPIDEMIOLÓGICA","114266000","114266000"
"9000000","NACIONAL","17 - SANEAMENTO","122 - ADMINISTRAÇÃO GERAL","902928,6","902928,6"
"5000000","MATO GROSSO DO SUL (ESTADO)","10 - SAÚDE","304 - VIGILÂNCIA SANITÁRIA","1617934","1617934"
"2400000","RIO GRANDE DO NORTE (ESTADO)","10 - SAÚDE","304 - VIGILÂNCIA SANITÁRIA","2544238","2544238"
"2804508","NOSSA SENHORA DA GLÓRIA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3537305","PENÁPOLIS","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"3305554","SEROPÉDICA","10 - SAÚDE","301 - ATENÇÃO BÁSICA","185051","185051"
"3305752","TANGUÁ","10 - SAÚDE","301 - ATENÇÃO BÁSICA","900000","900000"
"2931350","TEIXEIRA DE FREITAS","16 - HABITAÇÃO","482 - HABITAÇÃO URBANA","250000","250000"
"3303104","NATIVIDADE - RJ","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","197000","197000"
"4305355","CHARQUEADAS","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"3116506","CLARO DOS POÇÕES","10 - SAÚDE","301 - ATENÇÃO BÁSICA","255000","255000"
"3301603","DUAS BARRAS","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","660000,01","660000,01"
"3132503","ITAMARANDIBA","10 - SAÚDE","511 - SANEAMENTO BÁSICO RURAL","0","0"
"1200500","SENA MADUREIRA","10 - SAÚDE","303 - SUPORTE PROFILÁTICO E TERAPÊUTICO","0","0"
"2706422","PARICONHA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3500000","SÃO PAULO (ESTADO)","10 - SAÚDE","304 - VIGILÂNCIA SANITÁRIA","26596341","26596341"
"2310258","PARAIPABA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3304300","RIO BONITO","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"2507507","JOÃO PESSOA","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","270000","270000"
"2924504","PINDAÍ","10 - SAÚDE","301 - ATENÇÃO BÁSICA","110000","110000"
"1501907","BUJARU","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"3122009","DIVINO","10 - SAÚDE","303 - SUPORTE PROFILÁTICO E TERAPÊUTICO","150000","150000"
"3100104","ABADIA DOS DOURADOS","16 - HABITAÇÃO","451 - INFRA-ESTRUTURA URBANA","0","0"
"4106407","CORNÉLIO PROCÓPIO","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","250000","250000"
"3540754","POTIM","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"4113700","LONDRINA","10 - SAÚDE","301 - ATENÇÃO BÁSICA","300000","300000"
"3143906","MURIAÉ","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","800000","800000"
"3547809","SANTO ANDRÉ - SP","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","440000","440000"
"4305439","CHUÍ","17 - SANEAMENTO","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3301009","CAMPOS DOS GOYTACAZES","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"3146107","OURO PRETO","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"2930774","SOBRADINHO - BA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"1300000","AMAZONAS (ESTADO)","10 - SAÚDE","304 - VIGILÂNCIA SANITÁRIA","2118377","2118377"
"3301801","ENGENHEIRO PAULO DE FRONTIN","10 - SAÚDE","301 - ATENÇÃO BÁSICA","250000","250000"
"3201308","CARIACICA","10 - SAÚDE","301 - ATENÇÃO BÁSICA","450000","450000"
"3532405","NAZARÉ PAULISTA","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","129000","129000"
"3162955","SÃO JOSÉ DA LAPA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"1700000","TOCANTINS (ESTADO)","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3300225","AREAL","10 - SAÚDE","301 - ATENÇÃO BÁSICA","169303,8","169303,8"
"2209401","SANTO ANTÔNIO DE LISBOA","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"5210000","INHUMAS","10 - SAÚDE","301 - ATENÇÃO BÁSICA","100000","100000"
"2806206","SALGADO","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2925402","POTIRAGUÁ","10 - SAÚDE","301 - ATENÇÃO BÁSICA","250000","250000"
"3541406","PRESIDENTE PRUDENTE","17 - SANEAMENTO","512 - SANEAMENTO BÁSICO URBANO","500000","500000"
"5001904","BATAGUASSU","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"3525300","JAÚ","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","2269500","2269500"
"3549508","SÃO JOSÉ DA BELA VISTA","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"3119401","CORONEL FABRICIANO","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"3301603","DUAS BARRAS","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"1600000","AMAPÁ (ESTADO)","10 - SAÚDE","305 - VIGILÂNCIA EPIDEMIOLÓGICA","7196000","7196000"
"2400604","ALMINO AFONSO","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3530607","MOGI DAS CRUZES","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","1000000","1000000"
"4309209","GRAVATAÍ","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","199739,48","199739,48"
"3534401","OSASCO","10 - SAÚDE","301 - ATENÇÃO BÁSICA","1000000","1000000"
"2705507","MURICI","10 - SAÚDE","301 - ATENÇÃO BÁSICA","250000","250000"
"4109401","GUARAPUAVA","10 - SAÚDE","303 - SUPORTE PROFILÁTICO E TERAPÊUTICO","300000","300000"
"2927200","RUY BARBOSA - BA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3301009","CAMPOS DOS GOYTACAZES","10 - SAÚDE","303 - SUPORTE PROFILÁTICO E TERAPÊUTICO","100000","100000"
"2701902","CHÃ PRETA","16 - HABITAÇÃO","482 - HABITAÇÃO URBANA","400000","400000"
"5200000","GOIÁS (ESTADO)","10 - SAÚDE","303 - SUPORTE PROFILÁTICO E TERAPÊUTICO","53280479,43","53280479,43"
"3106200","BELO HORIZONTE","17 - SANEAMENTO","512 - SANEAMENTO BÁSICO URBANO","300000","300000"
"3151404","PITANGUI","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","500000","500000"
"3302908","MIGUEL PEREIRA","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"3505906","BATATAIS","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","150000","150000"
"1503705","ITUPIRANGA","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"3108909","BRASÓPOLIS","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"2300000","CEARÁ (ESTADO)","16 - HABITAÇÃO","482 - HABITAÇÃO URBANA","470000","470000"
"2200251","ALAGOINHA DO PIAUÍ","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2704302","MACEIÓ","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"5217708","PONTALINA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"1101492","SÃO FRANCISCO DO GUAPORÉ","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"3170750","VARJÃO DE MINAS","10 - SAÚDE","301 - ATENÇÃO BÁSICA","150000","150000"
"2207702","PARNAÍBA","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","400000","400000"
"3202108","ECOPORANGA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3300308","BARRA DO PIRAÍ","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","300000","300000"
"2308500","MOMBAÇA","17 - SANEAMENTO","512 - SANEAMENTO BÁSICO URBANO","0","0"
"4318903","SÃO LUIZ GONZAGA","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"3159803","SANTA VITÓRIA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","200000","200000"
"3202207","FUNDÃO","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"3100000","MINAS GERAIS (ESTADO)","16 - HABITAÇÃO","451 - INFRA-ESTRUTURA URBANA","0","0"
"5209200","GUAPÓ","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2616100","VERDEJANTE","16 - HABITAÇÃO","482 - HABITAÇÃO URBANA","0","0"
"1100205","PORTO VELHO","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"2708956","SENADOR RUI PALMEIRA","16 - HABITAÇÃO","451 - INFRA-ESTRUTURA URBANA","0","0"
"2612109","SALGADINHO - PE","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"1600279","LARANJAL DO JARI","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2311405","QUIXERAMOBIM","17 - SANEAMENTO","512 - SANEAMENTO BÁSICO URBANO","1500000","1500000"
"1100106","GUAJARÁ-MIRIM","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","100000","100000"
"3127701","GOVERNADOR VALADARES","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"3200201","ALEGRE","16 - HABITAÇÃO","482 - HABITAÇÃO URBANA","0","0"
"2309300","NOVA RUSSAS","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3115805","CENTRALINA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"4323309","VILA FLORES","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","100000","100000"
"2603405","CALUMBI","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2105302","IMPERATRIZ","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"4301602","BAGÉ","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"1500107","ABAETETUBA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"4303400","CAIÇARA - RS","10 - SAÚDE","511 - SANEAMENTO BÁSICO RURAL","0","0"
"2606002","GARANHUNS","17 - SANEAMENTO","512 - SANEAMENTO BÁSICO URBANO","350000","350000"
"1200401","RIO BRANCO - AC","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2302107","BATURITÉ","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"3202801","ITAPEMIRIM","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","199345,7","199345,7"
"1500000","PARÁ (ESTADO)","16 - HABITAÇÃO","482 - HABITAÇÃO URBANA","750000","750000"
"3202306","GUAÇUÍ","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"3304508","RIO DAS FLORES","16 - HABITAÇÃO","451 - INFRA-ESTRUTURA URBANA","0","0"
"2304657","GRAÇA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","400000","400000"
"3300159","APERIBÉ","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3107307","BOCAIÚVA","10 - SAÚDE","303 - SUPORTE PROFILÁTICO E TERAPÊUTICO","150000","150000"
"3530706","MOGI GUAÇU","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"1100205","PORTO VELHO","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"2507507","JOÃO PESSOA","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"2610004","PALMARES","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3138401","LEOPOLDINA","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"3514106","DOIS CÓRREGOS","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","250000","250000"
"3304508","RIO DAS FLORES","10 - SAÚDE","301 - ATENÇÃO BÁSICA","135382,9","135382,9"
"3301876","IGUABA GRANDE","10 - SAÚDE","301 - ATENÇÃO BÁSICA","460750","460750"
"3547809","SANTO ANDRÉ - SP","10 - SAÚDE","305 - VIGILÂNCIA EPIDEMIOLÓGICA","300000","300000"
"3125002","EWBANK DA CÂMARA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","229166","229166"
"2308906","MORRINHOS - CE","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"3104502","ARINOS","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"3139805","MAR DE ESPANHA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2615904","TUPARETAMA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"4108908","GUAIRAÇÁ","10 - SAÚDE","303 - SUPORTE PROFILÁTICO E TERAPÊUTICO","150000","150000"
"3513108","CRAVINHOS","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"1502202","CAPANEMA - PA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3543303","RIBEIRÃO PIRES","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"1501204","BAIÃO","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"4215802","SÃO BENTO DO SUL","10 - SAÚDE","301 - ATENÇÃO BÁSICA","199904,25","199904,25"
"2918001","JEQUIÉ","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"2914703","ITABERABA","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","418421,05","418421,05"
"2304350","FORQUILHA","10 - SAÚDE","301 - ATENÇÃO BÁSICA","140000","140000"
"3551207","SARUTAIÁ","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"2905008","CACULÉ","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"4213302","PONTE ALTA","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"2313302","TAUÁ","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2306504","ITAPIÚNA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2616100","VERDEJANTE","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"2607752","ITAPISSUMA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3156106","RITÁPOLIS","16 - HABITAÇÃO","451 - INFRA-ESTRUTURA URBANA","0","0"
"2806909","SÃO FRANCISCO - SE","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3302403","MACAÉ","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"3304144","QUEIMADOS","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"1200393","PORTO WALTER","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"2504009","CAMPINA GRANDE","17 - SANEAMENTO","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3203809","MUQUI","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3540804","POTIRENDABA","10 - SAÚDE","303 - SUPORTE PROFILÁTICO E TERAPÊUTICO","150000","150000"
"4106407","CORNÉLIO PROCÓPIO","10 - SAÚDE","301 - ATENÇÃO BÁSICA","200000","200000"
"2913101","IBITITÁ","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"3302106","ITAOCARA","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"2932903","VALENÇA - BA","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"2611606","RECIFE","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"4118006","PARAÍSO DO NORTE","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3134202","ITUIUTABA","10 - SAÚDE","305 - VIGILÂNCIA EPIDEMIOLÓGICA","100000","100000"
"2910057","DIAS D'ÁVILA","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"3302007","ITAGUAÍ","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"4102901","BITURUNA","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"2708303","SÃO JOSÉ DA LAJE","10 - SAÚDE","511 - SANEAMENTO BÁSICO RURAL","700000","700000"
"3503505","AREIAS","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2515005","SÃO MIGUEL DE TAIPU","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"1302603","MANAUS","16 - HABITAÇÃO","482 - HABITAÇÃO URBANA","0","0"
"3202009","DORES DO RIO PRETO","16 - HABITAÇÃO","482 - HABITAÇÃO URBANA","0","0"
"2305357","ICAPUÍ","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"3302056","ITALVA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3544004","RIO DAS PEDRAS","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2601706","BELO JARDIM","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"5200000","GOIÁS (ESTADO)","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"3161502","SÃO GERALDO","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"4315602","RIO GRANDE","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"2106102","LORETO","10 - SAÚDE","511 - SANEAMENTO BÁSICO RURAL","0","0"
"4118501","PATO BRANCO","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","100000","100000"
"2610103","PALMEIRINA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3300000","RIO DE JANEIRO (ESTADO)","10 - SAÚDE","304 - VIGILÂNCIA SANITÁRIA","9725871","9725871"
"5204102","CACHOEIRA ALTA","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"2610202","PANELAS","16 - HABITAÇÃO","482 - HABITAÇÃO URBANA","0","0"
"2930006","SEBASTIÃO LARANJEIRAS","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"5003108","CORGUINHO","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"2512507","QUEIMADAS - PB","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","200000","200000"
"4117305","ORTIGUEIRA","16 - HABITAÇÃO","482 - HABITAÇÃO URBANA","0","0"
"5219209","SANTA CRUZ DE GOIÁS","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"3204054","PEDRO CANÁRIO","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"2920452","MANSIDÃO","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3149952","PERIQUITO","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"5204201","CACHOEIRA DE GOIÁS","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"2930105","SENHOR DO BONFIM","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"2920106","MAIRI","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"4321352","TAVARES - RS","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"5201801","ARAGOIÂNIA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"NÃO INFORMADO","NÃO INFORMADO","10 - SAÚDE","304 - VIGILÂNCIA SANITÁRIA","0","0"
"3557105","VOTUPORANGA","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"4302006","BARROS CASSAL","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"3503406","AREALVA","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"3511003","CASTILHO","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2918753","LAGOA REAL","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","150000","150000"
"4317202","SANTA ROSA","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"1502939","DOM ELISEU","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"2928000","SANTALUZ","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"4322707","VERA CRUZ - RS","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","200000","200000"
"3201506","COLATINA","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","266928","266928"
